ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
10200291 8441954 3291 432358 16 8810272 0 0 4471
10200982 8441968 3291 452487 16 8810362 0 0 4471
10201227 8441956 3291 472616 16 8810452 0 0 4471
10201535 8441956 3291 492745 16 8810542 0 0 4471
10201846 8441970 3291 512872 16 8810632 0 0 4471
10201964 8441958 3291 533004 16 8810722 0 0 4471
10202167 8441969 3291 553132 16 8810812 0 0 4471
10203005 8441985 3291 573258 16 8810902 0 0 4471
10202922 8441955 3291 593388 16 8810992 0 0 4471
10203155 8441971 3291 613518 16 8811082 0 0 4471
10203273 8441974 3291 633645 16 8811172 0 0 4471
10203397 8441959 3291 653774 16 8811262 0 0 4471
10203765 8441968 3291 673902 16 8811352 0 0 4471
10204298 8441964 3291 694033 16 8811442 0 0 4471
10204376 8441955 3291 714160 16 8811532 0 0 4471
10204798 8441965 3291 734290 16 8811622 0 0 4471
10204858 8441961 3291 754419 16 8811712 0 0 4471
10204996 8441957 3291 774547 16 8811802 0 0 4471
10205425 8441981 3291 794676 16 8811892 0 0 4471
10205675 8441964 3291 814806 16 8811982 0 0 4471
10205528 8441960 3291 834936 16 8812072 0 0 4471
10205874 8441983 3291 855064 16 8812162 0 0 4471
10205840 8441957 3291 875192 16 8812252 0 0 4471
10206115 8441963 3291 895322 16 8812342 0 0 4471
10206363 8441968 3291 915451 16 8812432 0 0 4471
10206401 8441955 3291 935582 16 8812522 0 0 4471
10206378 8441963 3291 955708 16 8812612 0 0 4471
10206628 8441963 3291 975838 16 8812702 0 0 4471
10206546 8441964 3291 995969 16 8812792 0 0 4471
10206866 8441973 3292 16098 16 8812882 0 0 4471
10207017 8441973 3292 36224 16 8812972 0 0 4471
10206997 8441950 3292 56353 16 8813062 0 0 4471
10207037 8441978 3292 76483 16 8813152 0 0 4471
10207177 8441965 3292 96611 16 8813242 0 0 4471
10207172 8441957 3292 116740 16 8813332 0 0 4471
10207286 8441965 3292 136870 16 8813422 0 0 4471
10207239 8441957 3292 157001 16 8813512 0 0 4471
10207392 8441951 3292 177130 16 8813602 0 0 4471
10207408 8441970 3292 197256 16 8813692 0 0 4471
10207314 8441958 3292 217388 16 8813782 0 0 4471
10207341 8441963 3292 237518 16 8813872 0 0 4471
10207259 8441977 3292 257646 16 8813962 0 0 4471
10207381 8441955 3292 277775 16 8814052 0 0 4471
10207187 8441960 3292 297905 16 8814142 0 0 4471
10207238 8441976 3292 318034 16 8814232 0 0 4471
10207313 8441953 3292 338162 16 8814322 0 0 4471
10207213 8441961 3292 358291 16 8814412 0 0 4471
10206980 8441962 3292 378418 16 8814502 0 0 4471
10206940 8441956 3292 398549 16 8814592 0 0 4471
10206710 8441965 3292 418678 16 8814682 0 0 4471
10206730 8441963 3292 438807 16 8814772 0 0 4471
10206620 8441958 3292 458935 16 8814862 0 0 4471
10206450 8441984 3292 479062 16 8814952 0 0 4471
10206334 8441962 3292 499191 16 8815042 0 0 4471
10206384 8441953 3292 519321 16 8815132 0 0 4471
10206220 8441983 3292 539451 16 8815222 0 0 4471
10206197 8441958 3292 559578 16 8815312 0 0 4471
10206011 8441958 3292 579708 16 8815402 0 0 4471
10205652 8441973 3292 599838 16 8815492 0 0 4471
10205281 8441954 3292 619965 16 8815582 0 0 4471
10205267 8441960 3292 640094 16 8815672 0 0 4471
10204981 8441970 3292 660223 16 8815762 0 0 4471
10204922 8441953 3292 680353 16 8815852 0 0 4471
10204493 8441970 3292 700483 16 8815942 0 0 4471
10204020 8441969 3292 720612 16 8816032 0 0 4471
10203999 8441956 3292 740739 16 8816122 0 0 4471
10203807 8441972 3292 760870 16 8816212 0 0 4471
10203496 8441969 3292 780999 16 8816302 0 0 4471
10203422 8441956 3292 801128 16 8816392 0 0 4471
10202915 8441967 3292 821257 16 8816482 0 0 4471
10202583 8441958 3292 841384 16 8816572 0 0 4471
10202358 8441954 3292 861515 16 8816662 0 0 4471
10202060 8441966 3292 881644 16 8816752 0 0 4471
10201867 8441955 3292 901771 16 8816842 0 0 4471
10201827 8441959 3292 921900 16 8816932 0 0 4471
10201166 8441984 3292 942032 16 8817022 0 0 4471
10201244 8441953 3292 962160 16 8817112 0 0 4471
10201071 8441959 3292 982289 16 8817202 0 0 4471
10200921 8441978 3293 2416 16 8817292 0 0 4471
10200755 8441954 3293 22548 16 8817382 0 0 4471
10200567 8441960 3293 42677 16 8817471 0 0 4466
10199869 8441970 3293 62805 16 8817561 0 0 4466
10199782 8441961 3293 82934 16 8817651 0 0 4466
10199521 8441963 3293 103063 16 8817741 0 0 4466
10199407 8441962 3293 123193 16 8817831 0 0 4466
10199232 8441954 3293 143323 16 8817921 0 0 4466
10199000 8441975 3293 163450 16 8818011 0 0 4466
10198731 8441970 3293 183580 16 8818101 0 0 4466
10198909 8441953 3293 203710 16 8818191 0 0 4466
10198543 8441977 3293 223837 16 8818281 0 0 4466
10198404 8441961 3293 243967 16 8818371 0 0 4471
10198283 8441953 3293 264094 16 8818461 0 0 4471
10197908 8441968 3293 284223 16 8818551 0 0 4471
10197717 8441958 3293 304353 16 8818641 0 0 4471
10197679 8441958 3293 324480 16 8818731 0 0 4471
10197540 8441972 3293 344610 16 8818821 0 0 4471
10197591 8441952 3293 364739 16 8818911 0 0 4471
10197447 8441967 3293 384867 16 8819001 0 0 4471
10197219 8441981 3293 404996 16 8819091 0 0 4471
10197177 8441954 3293 425125 16 8819181 0 0 4471
10197171 8441969 3293 445255 16 8819271 0 0 4471
10197128 8441968 3293 465384 16 8819361 0 0 4471
10197107 8441957 3293 485512 16 8819451 0 0 4471
10196976 8441961 3293 505641 16 8819541 0 0 4471
10196857 8441962 3293 525771 16 8819631 0 0 4471
10196841 8441952 3293 545900 16 8819721 0 0 4471
10196873 8441967 3293 566029 16 8819811 0 0 4471
10196903 8441960 3293 586159 16 8819901 0 0 4471
10196791 8441951 3293 606287 16 8819991 0 0 4471
10196902 8441980 3293 626416 16 8820081 0 0 4471
10196850 8441963 3293 646545 16 8820171 0 0 4471
10196871 8441953 3293 666675 16 8820261 0 0 4471
10196993 8441979 3293 686803 16 8820351 0 0 4471
10196997 8441958 3293 706932 16 8820441 0 0 4471
10197074 8441956 3293 727061 16 8820531 0 0 4471
10197338 8441968 3293 747190 16 8820621 0 0 4471
10197388 8441952 3293 767319 16 8820711 0 0 4471
10197555 8441959 3293 787448 16 8820801 0 0 4471
10197683 8441961 3293 807578 16 8820891 0 0 4471
10197651 8441960 3293 827707 16 8820981 0 0 4471
10197790 8441974 3293 847837 16 8821071 0 0 4471
10198070 8441973 3293 867968 16 8821161 0 0 4471
10197972 8441950 3293 888097 16 8821251 0 0 4471
10198221 8441977 3293 908226 16 8821341 0 0 4471
10198302 8441968 3293 928352 16 8821431 0 0 4471
10198436 8441964 3293 948482 16 8821521 0 0 4471
10198944 8441969 3293 968613 16 8821611 0 0 4471
10199220 8441955 3293 988739 16 8821701 0 0 4471
10199390 8441958 3294 8869 16 8821791 0 0 4471
10199636 8441971 3294 28996 16 8821881 0 0 4471
10199639 8441952 3294 49127 16 8821971 0 0 4471
10199720 8441963 3294 69255 16 8822061 0 0 4471
10200108 8441980 3294 89382 16 8822151 0 0 4471
10200117 8441957 3294 109511 16 8822241 0 0 4471
10200259 8441969 3294 129641 16 8822331 0 0 4471
10200575 8441976 3294 149769 16 8822421 0 0 4471
10200613 8441953 3294 169898 16 8822511 0 0 4471
10201027 8441966 3294 190030 16 8822601 0 0 4471
10201628 8441962 3294 210157 16 8822691 0 0 4471
10201703 8441961 3294 230285 16 8822781 0 0 4471
10201893 8441964 3294 250414 16 8822871 0 0 4471
10202088 8441968 3294 270544 16 8822961 0 0 4471
10202054 8441953 3294 290674 16 8823051 0 0 4471
10202497 8441979 3294 310801 16 8823141 0 0 4471
10202669 8441966 3294 330931 16 8823231 0 0 4471
10202652 8441958 3294 351060 16 8823321 0 0 4471
10203080 8441978 3294 371190 16 8823411 0 0 4471
10203167 8441959 3294 391317 16 8823501 0 0 4471
10203358 8441954 3294 411447 16 8823591 0 0 4471
10203927 8441969 3294 431575 16 8823681 0 0 4471
10204077 8441955 3294 451704 16 8823771 0 0 4471
10204118 8441958 3294 471834 16 8823861 0 0 4471
10204409 8441971 3294 491963 16 8823951 0 0 4471
10204331 8441953 3294 512092 16 8824041 0 0 4471
10204668 8441970 3294 532220 16 8824131 0 0 4471
10205008 8441975 3294 552350 16 8824221 0 0 4471
10204964 8441954 3294 572479 16 8824311 0 0 4471
10205028 8441972 3294 592607 16 8824401 0 0 4471
10205194 8441970 3294 612736 16 8824491 0 0 4471
10205297 8441955 3294 632869 16 8824581 0 0 4471
10205769 8441964 3294 652998 16 8824671 0 0 4471
10206067 8441958 3294 673127 16 8824761 0 0 4471
10206214 8441958 3294 693254 16 8824851 0 0 4471
10206419 8441966 3294 713385 16 8824941 0 0 4471
10206540 8441961 3294 733514 16 8825031 0 0 4471
10206463 8441958 3294 753641 16 8825121 0 0 4471
10206847 8441983 3294 773772 16 8825211 0 0 4471
10206767 8441954 3294 793901 16 8825301 0 0 4471
10206698 8441964 3294 814030 16 8825391 0 0 4471
10206794 8441984 3294 834157 16 8825481 0 0 4471
10207005 8441954 3294 854287 16 8825571 0 0 4471
10207078 8441960 3294 874414 16 8825661 0 0 4471
10207403 8441971 3294 894542 16 8825751 0 0 4471
10207362 8441951 3294 914672 16 8825841 0 0 4471
10207463 8441962 3294 934801 16 8825931 0 0 4471
10207644 8441965 3294 954931 16 8826021 0 0 4471
10207694 8441955 3294 975058 16 8826111 0 0 4471
10207733 8441972 3294 995187 16 8826201 0 0 4471
10207706 8441970 3295 15317 16 8826291 0 0 4471
10207623 8441951 3295 35445 16 8826381 0 0 4471
10207569 8441982 3295 55574 16 8826471 0 0 4471
10207540 8441966 3295 75704 16 8826561 0 0 4471
10207585 8441954 3295 95833 16 8826651 0 0 4471
10207526 8441970 3295 115961 16 8826741 0 0 4471
10207366 8441954 3295 136090 16 8826831 0 0 4471
10207406 8441960 3295 156220 16 8826921 0 0 4471
10207353 8441973 3295 176349 16 8827011 0 0 4471
10207291 8441953 3295 196480 16 8827101 0 0 4471
10207252 8441965 3295 216606 16 8827191 0 0 4471
10207138 8441980 3295 236736 16 8827281 0 0 4471
10207173 8441953 3295 256867 16 8827371 0 0 4471
10207184 8441968 3295 276993 16 8827461 0 0 4471
10206983 8441973 3295 297122 16 8827551 0 0 4471
10207014 8441958 3295 317252 16 8827641 0 0 4471
10206608 8441965 3295 337383 16 8827731 0 0 4471
10206356 8441957 3295 357509 16 8827821 0 0 4471
10206278 8441962 3295 377639 16 8827911 0 0 4471
10206202 8441968 3295 397770 16 8828001 0 0 4471
10205969 8441959 3295 417896 16 8828091 0 0 4471
10206114 8441960 3295 438030 16 8828181 0 0 4471
10205427 8441980 3295 458157 16 8828271 0 0 4471
10205538 8441959 3295 478287 16 8828361 0 0 4471
10205764 8441954 3295 498415 16 8828451 0 0 4471
10205772 8441979 3295 518544 16 8828541 0 0 4471
10205475 8441959 3295 538674 16 8828631 0 0 4471
10205158 8441957 3295 558802 16 8828721 0 0 4471
10204382 8441966 3295 578931 16 8828811 0 0 4471
10204323 8441952 3295 599060 16 8828901 0 0 4471
10204050 8441962 3295 619187 16 8828991 0 0 4471
10203893 8441966 3295 639318 16 8829081 0 0 4471
10203752 8441959 3295 659447 16 8829171 0 0 4471
10203514 8441971 3295 679576 16 8829261 0 0 4471
10203064 8441971 3295 699704 16 8829351 0 0 4471
10203401 8441952 3295 719831 16 8829441 0 0 4471
10203230 8441975 3295 739960 16 8829531 0 0 4471
10203191 8441964 3295 760089 16 8829621 0 0 4471
10202804 8441952 3295 780219 16 8829711 0 0 4471
10202284 8441968 3295 800347 16 8829801 0 0 4471
10201767 8441959 3295 820477 16 8829891 0 0 4471
10201664 8441951 3295 840606 16 8829981 0 0 4471
10201194 8441965 3295 860734 16 8830071 0 0 4471
10201413 8441952 3295 880864 16 8830161 0 0 4471
10201246 8441959 3295 900993 16 8830251 0 0 4471
10200745 8441980 3295 921122 16 8830341 0 0 4471
10200586 8441951 3295 941250 16 8830431 0 0 4471
10200715 8441962 3295 961379 16 8830521 0 0 4471
10200479 8441978 3295 981510 16 8830610 0 0 4466
10200560 8441952 3296 1637 16 8830701 0 0 4471
10199955 8441960 3296 21766 16 8830790 0 0 4466
10199541 8441964 3296 41897 16 8830880 0 0 4466
10199343 8441960 3296 62027 16 8830970 0 0 4466
10199045 8441962 3296 82155 16 8831060 0 0 4466
