ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
11258142 8392889 180 834076 16 10862137 0 0 -71533
14602498 8398899 180 854204 16 10860697 0 0 -71533
16777215 8407451 180 874332 16 10859257 0 0 -71534
16777215 8412077 180 894463 16 10857818 0 0 -71528
16777215 8413244 180 914591 16 10856378 0 0 -71535
16777215 8410090 180 934719 16 10854938 0 0 -71534
16777215 8403232 180 954847 16 10853498 0 0 -71535
16777215 8395202 180 974977 16 10852058 0 0 -71534
13382183 8391356 180 995105 16 10850618 0 0 -71535
10955287 8391323 181 15235 16 10849178 0 0 -71534
12812608 8396291 181 35364 16 10847739 0 0 -71529
16777215 8403623 181 55492 16 10846299 0 0 -71529
16777215 8410550 181 75622 16 10844859 0 0 -71529
16777215 8413256 181 95752 16 10843419 0 0 -71534
16777215 8411310 181 115880 16 10841979 0 0 -71534
16777215 8405329 181 136010 16 10840539 0 0 -71533
16777215 8397790 181 156138 16 10839099 0 0 -71533
14597890 8391947 181 176266 16 10837659 0 0 -71534
11404922 8390932 181 196395 16 10836219 0 0 -71534
11977204 8394751 181 216525 16 10834779 0 0 -71534
16469232 8401423 181 236654 16 10833340 0 0 -71534
16777215 8408594 181 256782 16 10831899 0 0 -71539
16777215 8413108 181 276914 16 10830459 0 0 -71538
16777215 8412267 181 297042 16 10829020 0 0 -71534
16777215 8406540 181 317170 16 10827580 0 0 -71534
16777215 8399417 181 337298 16 10826140 0 0 -71535
15810796 8393074 181 357428 16 10824700 0 0 -71534
11594422 8390664 181 377556 16 10823260 0 0 -71534
11386386 8393349 181 397685 16 10821820 0 0 -71534
15131615 8399478 181 417815 16 10820380 0 0 -71534
16777215 8406472 181 437943 16 10818940 0 0 -71539
16777215 8412221 181 458073 16 10817500 0 0 -71533
16777215 8413196 181 478205 16 10816061 0 0 -71528
16777215 8409279 181 498333 16 10814621 0 0 -71533
16777215 8400726 181 518461 16 10813181 0 0 -71533
16460173 8393753 181 538591 16 10811741 0 0 -71532
11891072 8390762 181 558719 16 10810301 0 0 -71533
11336070 8392942 181 578850 16 10808861 0 0 -71532
14468977 8398622 181 598979 16 10807421 0 0 -71532
16777215 8406701 181 619106 16 10805981 0 0 -71533
16777215 8411539 181 639238 16 10804541 0 0 -71532
16777215 8413344 181 659363 16 10803102 0 0 -71529
16777215 8409974 181 679494 16 10801662 0 0 -71534
16777215 8402950 181 699623 16 10800222 0 0 -71534
16777215 8395791 181 719751 16 10798782 0 0 -71534
13470538 8391399 181 739879 16 10797342 0 0 -71534
11061918 8391388 181 760009 16 10795902 0 0 -71534
12640092 8395648 181 780137 16 10794462 0 0 -71535
16777215 8402487 181 800266 16 10793023 0 0 -71530
16777215 8408974 181 820394 16 10791583 0 0 -71529
16777215 8412900 181 840525 16 10790143 0 0 -71529
16777215 8412271 181 860653 16 10788703 0 0 -71534
16777215 8407921 181 880782 16 10787263 0 0 -71534
16777215 8401036 181 900910 16 10785823 0 0 -71534
16777215 8394909 181 921041 16 10784383 0 0 -71534
12984164 8391084 181 941169 16 10782943 0 0 -71534
11082416 8392034 181 961297 16 10781503 0 0 -71534
13472304 8396971 181 981427 16 10780064 0 0 -71529
16777215 8403620 182 1555 16 10778624 0 0 -71534
16777215 8410684 182 21684 16 10777184 0 0 -71534
16777215 8413226 182 41814 16 10775744 0 0 -71534
16777215 8411451 182 61943 16 10774304 0 0 -71534
16777215 8406453 182 82071 16 10772864 0 0 -71534
16777215 8399501 182 102202 16 10771424 0 0 -71533
16257051 8393395 182 122331 16 10769984 0 0 -71534
12044632 8390767 182 142459 16 10768544 0 0 -71534
11073281 8392341 182 162588 16 10767104 0 0 -71533
13669908 8397157 182 182716 16 10765664 0 0 -71539
16777215 8403606 182 202847 16 10764224 0 0 -71538
16777215 8410316 182 222975 16 10762785 0 0 -71533
16777215 8413244 182 243103 16 10761345 0 0 -71534
16777215 8412135 182 263233 16 10759905 0 0 -71534
16777215 8407053 182 283362 16 10758465 0 0 -71533
16777215 8399387 182 303494 16 10757025 0 0 -71533
16209671 8393463 182 323622 16 10755585 0 0 -71533
12102599 8390791 182 343751 16 10754145 0 0 -71533
11096776 8392498 182 363879 16 10752706 0 0 -71528
13823463 8397460 182 384011 16 10751265 0 0 -71532
16777215 8404545 182 404137 16 10749826 0 0 -71529
16777215 8410823 182 424268 16 10748386 0 0 -71533
16777215 8413229 182 444396 16 10746946 0 0 -71533
16777215 8411380 182 464525 16 10745506 0 0 -71533
16777215 8406413 182 484653 16 10744066 0 0 -71533
16777215 8398924 182 504782 16 10742626 0 0 -71534
16096284 8393366 182 524912 16 10741186 0 0 -71533
11922966 8390787 182 545040 16 10739746 0 0 -71534
11199063 8392676 182 565168 16 10738306 0 0 -71539
13998165 8397828 182 585296 16 10736867 0 0 -71530
16777215 8404482 182 605426 16 10735427 0 0 -71534
16777215 8410560 182 625555 16 10733987 0 0 -71535
16777215 8413233 182 645683 16 10732547 0 0 -71535
16777215 8411053 182 665814 16 10731107 0 0 -71534
16777215 8406438 182 685942 16 10729667 0 0 -71534
16777215 8398738 182 706070 16 10728227 0 0 -71534
15967213 8393465 182 726201 16 10726787 0 0 -71534
12069715 8390852 182 746329 16 10725348 0 0 -71529
11221119 8392704 182 766458 16 10723908 0 0 -71529
14362923 8398392 182 786587 16 10722468 0 0 -71533
16777215 8405468 182 806715 16 10721028 0 0 -71534
16777215 8411063 182 826844 16 10719588 0 0 -71534
16777215 8413270 182 846974 16 10718148 0 0 -71533
16777215 8410966 182 867102 16 10716708 0 0 -71534
16777215 8405393 182 887233 16 10715268 0 0 -71533
16777215 8397887 182 907361 16 10713828 0 0 -71533
15771986 8393292 182 927490 16 10712388 0 0 -71534
12081434 8390823 182 947620 16 10710949 0 0 -71533
11084266 8392271 182 967748 16 10709509 0 0 -71533
13837749 8397689 182 987876 16 10708069 0 0 -71534
16777215 8404930 183 8008 16 10706629 0 0 -71533
16777215 8411074 183 28134 16 10705189 0 0 -71534
16777215 8413258 183 48265 16 10703749 0 0 -71533
16777215 8410784 183 68393 16 10702309 0 0 -71533
16777215 8405449 183 88521 16 10700869 0 0 -71534
16777215 8397330 183 108654 16 10699429 0 0 -71533
14880397 8392479 183 128782 16 10697990 0 0 -71528
11485982 8390979 183 148911 16 10696549 0 0 -71538
11790208 8394109 183 169040 16 10695110 0 0 -71533
15900933 8400338 183 189168 16 10693670 0 0 -71533
16777215 8407355 183 209299 16 10692230 0 0 -71533
16777215 8412247 183 229427 16 10690790 0 0 -71533
16777215 8413097 183 249556 16 10689350 0 0 -71533
16777215 8409235 183 269684 16 10687910 0 0 -71533
16777215 8403216 183 289812 16 10686470 0 0 -71533
16777215 8395420 183 309941 16 10685030 0 0 -71535
13433049 8391349 183 330073 16 10683591 0 0 -71533
11091736 8391719 183 350200 16 10682151 0 0 -71529
12919659 8396047 183 370328 16 10680711 0 0 -71535
16777215 8402885 183 390458 16 10679271 0 0 -71534
16777215 8409145 183 410586 16 10677831 0 0 -71535
16777215 8412800 183 430714 16 10676391 0 0 -71535
16777215 8412106 183 450843 16 10674951 0 0 -71535
16777215 8407097 183 470972 16 10673511 0 0 -71534
16777215 8400367 183 491102 16 10672072 0 0 -71529
16474462 8393720 183 511230 16 10670632 0 0 -71529
12437296 8391020 183 531359 16 10669192 0 0 -71535
11207621 8392478 183 551490 16 10667752 0 0 -71534
14122732 8398032 183 571618 16 10666312 0 0 -71534
16777215 8405802 183 591746 16 10664872 0 0 -71534
16777215 8411321 183 611876 16 10663432 0 0 -71534
16777215 8413339 183 632006 16 10661992 0 0 -71533
16777215 8411087 183 652135 16 10660552 0 0 -71533
16777215 8405018 183 672263 16 10659112 0 0 -71533
16777215 8398084 183 692391 16 10657673 0 0 -71534
14887425 8392335 183 712520 16 10656233 0 0 -71534
11492479 8390773 183 732651 16 10654793 0 0 -71533
11774489 8394226 183 752779 16 10653353 0 0 -71534
15454375 8399229 183 772907 16 10651912 0 0 -71539
16777215 8406543 183 793036 16 10650473 0 0 -71534
16777215 8412078 183 813164 16 10649033 0 0 -71534
16777215 8413118 183 833296 16 10647593 0 0 -71534
16777215 8409603 183 853424 16 10646154 0 0 -71529
16777215 8403224 183 873552 16 10644713 0 0 -71534
16777215 8396964 183 893682 16 10643274 0 0 -71533
14362962 8392045 183 913814 16 10641834 0 0 -71533
11363319 8390825 183 933942 16 10640394 0 0 -71533
11893574 8394246 183 954071 16 10638954 0 0 -71533
15729399 8400026 183 974199 16 10637514 0 0 -71528
16777215 8408009 183 994330 16 10636074 0 0 -71532
16777215 8412361 184 14458 16 10634634 0 0 -71532
16777215 8413095 184 34587 16 10633194 0 0 -71533
16777215 8409347 184 54715 16 10631754 0 0 -71538
16777215 8402814 184 74847 16 10630315 0 0 -71527
16777215 8396053 184 94972 16 10628875 0 0 -71534
13507013 8391466 184 115103 16 10627435 0 0 -71534
11113145 8391317 184 135233 16 10625995 0 0 -71533
13034284 8396605 184 155360 16 10624555 0 0 -71534
16777215 8402806 184 175488 16 10623115 0 0 -71534
16777215 8410477 184 195617 16 10621675 0 0 -71535
16777215 8413303 184 215746 16 10620236 0 0 -71529
16777215 8411717 184 235874 16 10618796 0 0 -71530
16777215 8406156 184 256004 16 10617356 0 0 -71529
16777215 8399354 184 276133 16 10615916 0 0 -71535
15697124 8392873 184 296261 16 10614476 0 0 -71534
11669292 8390919 184 316390 16 10613036 0 0 -71534
11488418 8393367 184 336521 16 10611596 0 0 -71535
15485728 8400161 184 356649 16 10610156 0 0 -71534
16777215 8406526 184 376778 16 10608716 0 0 -71534
16777215 8412056 184 396907 16 10607276 0 0 -71534
16777215 8413211 184 417036 16 10605837 0 0 -71534
16777215 8409995 184 437164 16 10604397 0 0 -71534
16777215 8404364 184 457293 16 10602957 0 0 -71534
16777215 8397817 184 477423 16 10601517 0 0 -71534
14531246 8391956 184 497552 16 10600077 0 0 -71533
11357426 8391156 184 517681 16 10598637 0 0 -71533
12435874 8395456 184 537809 16 10597197 0 0 -71534
16777215 8402764 184 557940 16 10595757 0 0 -71533
16777215 8409165 184 578068 16 10594317 0 0 -71534
16777215 8413117 184 598198 16 10592877 0 0 -71533
16777215 8411746 184 618326 16 10591437 0 0 -71539
16777215 8406269 184 638455 16 10589997 0 0 -71538
16777215 8399553 184 658583 16 10588558 0 0 -71534
16603170 8394043 184 678714 16 10587118 0 0 -71533
12308264 8390879 184 698842 16 10585678 0 0 -71534
11141572 8392251 184 718970 16 10584238 0 0 -71534
13783912 8397511 184 739103 16 10582798 0 0 -71533
16777215 8404050 184 759230 16 10581358 0 0 -71533
16777215 8410659 184 779360 16 10579918 0 0 -71533
16777215 8413219 184 799489 16 10578479 0 0 -71528
16777215 8411801 184 819617 16 10577039 0 0 -71528
16777215 8405729 184 839748 16 10575599 0 0 -71528
