wavelength_nm,transmission_percent,transmission_smoothed_percent,pixel_x,pixel_y
572.7785957472486,-0.8381436910935207,-0.8179056373949465,544,416
572.9337280678882,-0.8381436910935207,-0.8229651508195905,545,416
573.0888603885278,-0.8381436910935207,-0.8477005497845174,546,416
573.2439927091674,-0.8381436910935207,-0.9067282064053654,547,416
573.399125029807,-0.8381436910935207,-0.9488908182773997,548,416
573.5542573504466,-1.0793138310015564,-0.9741883854006204,549,417
573.7093896710862,-1.0793138310015564,-0.9826209077750273,550,417
573.8645219917258,-1.0793138310015564,-0.9741883854006204,551,417
574.0196543123654,-0.8381436910935207,-0.9488908182773997,552,416
574.1747866330049,-0.8381436910935207,-0.9067282064053654,553,416
574.3299189536447,-0.8381436910935207,-0.8477005497845174,554,416
574.4850512742842,-0.8381436910935207,-0.8229651508195905,555,416
574.6401835949239,-0.8381436910935207,-0.8179056373949465,556,416
574.7953159155634,-0.8381436910935207,-0.8381436910935229,557,416
574.950448236203,-0.8381436910935207,-0.8381436910935229,558,416
575.1055805568426,-0.8381436910935207,-0.8381436910935229,559,416
575.2607128774822,-0.8381436910935207,-0.8381436910935229,560,416
575.4158451981218,-0.8381436910935207,-0.8381436910935229,561,416
575.5709775187614,-0.8381436910935207,-0.8381436910935229,562,416
575.726109839401,-0.8381436910935207,-0.8381436910935229,563,416
575.8812421600406,-0.8381436910935207,-0.8381436910935229,564,416
576.0363744806803,-0.8381436910935207,-0.8381436910935229,565,416
576.1915068013199,-0.8381436910935207,-0.8381436910935229,566,416
576.3466391219595,-0.8381436910935207,-0.8381436910935229,567,416
576.5017714425991,-0.8381436910935207,-0.8381436910935229,568,416
576.6569037632387,-0.8381436910935207,-0.8381436910935229,569,416
576.8120360838783,-0.8381436910935207,-0.8381436910935229,570,416
576.9671684045179,-0.8381436910935207,-0.8381436910935229,571,416
577.1223007251575,-0.8381436910935207,-0.8381436910935229,572,416
577.2774330457971,-0.8381436910935207,-0.8381436910935229,573,416
577.4325653664367,-0.8381436910935207,-0.8381436910935229,574,416
577.5876976870763,-0.8381436910935207,-0.8381436910935229,575,416
577.742830007716,-0.8381436910935207,-0.8381436910935229,576,416
577.8979623283556,-0.8381436910935207,-0.8381436910935229,577,416
578.0530946489952,-0.8381436910935207,-0.8381436910935229,578,416
578.2082269696348,-0.8381436910935207,-0.8381436910935229,579,416
578.3633592902744,-0.8381436910935207,-0.8381436910935229,580,416
578.518491610914,-0.8381436910935207,-0.8381436910935229,581,416
578.6736239315536,-0.8381436910935207,-0.8381436910935229,582,416
578.8287562521932,-0.8381436910935207,-0.8381436910935229,583,416
578.9838885728328,-0.8381436910935207,-0.8381436910935229,584,416
579.1390208934724,-0.8381436910935207,-0.8381436910935229,585,416
579.2941532141119,-0.8381436910935207,-0.8381436910935229,586,416
579.4492855347517,-0.8381436910935207,-0.8381436910935229,587,416
579.6044178553911,-0.8381436910935207,-0.8381436910935229,588,416
579.7595501760309,-0.8381436910935207,-0.8381436910935229,589,416
579.9146824966704,-0.8381436910935207,-0.8381436910935229,590,416
580.06981481731,-0.8381436910935207,-0.8381436910935229,591,416
580.2249471379496,-0.8381436910935207,-0.8381436910935229,592,416
580.3800794585892,-0.8381436910935207,-0.8381436910935229,593,416
580.5352117792288,-0.8381436910935207,-0.8381436910935229,594,416
580.6903440998684,-0.8381436910935207,-0.8381436910935229,595,416
580.845476420508,-0.8381436910935207,-0.8381436910935229,596,416
581.0006087411476,-0.8381436910935207,-0.8381436910935229,597,416
581.1557410617872,-0.8381436910935207,-0.8381436910935229,598,416
581.3108733824268,-0.8381436910935207,-0.8381436910935229,599,416
581.4660057030665,-0.8381436910935207,-0.8381436910935229,600,416
